ZIP CODE,MEDIAN_AGE,MEDIAN_HOME_PRICE,MEDIAN_INCOME,STUDENT_RATIO,SCHOOL_SPENDATURE
2492,44.6,930600,138734,15.5,15238
2493,44.4,1502400,201200,11.3,21894
2494,41.5,827600,112115,15.5,15238
2532,47.6,279000,61325,13,15552
2534,45.9,462600,72069,13,15552
2535,41.5,1533300,66875,8,28138
2536,48.6,367600,62924,12.5,17377
2537,45.7,445600,81892,12.5,17377
2538,42.1,271800,58814,12.5,12544
2539,46.6,925500,56911,9.2,24778
2540,58.9,598400,61417,12.5,17377
2542,26.1,307600,45970,13,15552
2543,55.7,950400,63828,12.5,17377
2553,40,313600,42341,13,15552
2554,39.4,1707600,86766,12.1,20360
2556,63.7,556900,90399,12.5,17377
2557,43,649200,80225,8.7,24057
2558,47.5,256900,43900,12.5,14544
2559,53.5,379700,67759,13,15552
2561,48.2,340400,88242,13,15552
2562,46.3,397700,66579,13,15552
2563,51.5,381600,82238,19.2,16151
2564,48.4,1586100,83583,12.1,12383
2568,42.6,686500,42727,9.1,24809
2571,43.6,276000,57750,12.5,14544
2575,57.3,859000,73843,8,28138
2576,45.2,311700,81120,12.5,14544
2584,40,1601000,0,12.1,20360
2601,39.3,323600,40385,13.2,16266
2630,48.5,560200,61713,13.2,16266
2633,59.7,709700,59545,10.3,16266
2635,53.7,502700,68990,13.2,16266
2637,52.6,540200,0,13.2,16266
2638,66.8,513300,60625,10,18385
2639,49.4,325100,40142,10,18385
2641,74,607100,132697,10,18385
2642,59.1,463300,62091,9.3,23104
2643,40,413900,0,8.2,21023
2644,41.7,368400,92054,19.2,16151
2645,52.6,432800,69115,10.3,16266
2646,62.5,507400,70096,10.3,16266
2647,66.9,2025500,124659,13.2,16266
2648,49.7,363900,71067,13.2,16266
2649,52.4,411000,65768,12.5,16490
2650,64.2,941200,68446,10.3,16266
2651,40,407700,0,9.3,23104
2652,54.8,544100,47039,8.8,36873
2653,60.4,624600,58015,8.2,21023
2655,56.7,586200,68695,13.2,16266
2657,54.9,594500,41250,5.8,12383
2659,54.7,525500,50897,10.3,16266
2660,56.7,347800,51631,10,18385
2663,72.5,688900,46429,7.1,22757
2664,52.4,344300,50561,10,181385
2666,64,653300,61408,8.8,36873
2667,57.4,569700,45547,7.1,22757
2668,53.6,468600,87303,13.2,16266
2669,46.2,546400,103693,10.3,16266
2670,59.3,373700,56000,10,18385
2671,66.6,406700,42974,10.3,16266
2672,48,912800,0,13.2,16266
2673,48.7,314800,57094,10,18385
2675,60.5,389200,66064,10,18385
2702,46.4,340000,87740,15.9,11372
2703,40.3,319100,65141,15,13059
2713,65.1,843700,32500,2,79500
2715,40.4,343400,88631,14.3,12871
2717,44.2,333200,87880,15.9,11372
2718,44,313000,86023,15.8,13125
2719,46.7,291200,60445,13.8,12506
2720,39.8,267700,41576,14.4,14787
2721,38.3,25900,30743,14.4,14787
2723,39.1,237000,31255,14.4,14787
2724,40.4,236900,27737,14.4,14787
2725,52.7,271100,61875,14.4,13496
2726,46.4,303700,75657,14.4,13496
2738,51.2,482100,76607,13,13929
2739,49.5,454100,78216,13,12383
2740,37.4,227700,35174,15.6,21909
2743,45.6,312300,69180,14.6,14840
2744,34.9,231100,29663,15.6,21909
2745,43,257200,49640,15.6,21909
2746,32.7,230700,25872,15.6,21909
2747,35.1,351900,71674,13.3,12304
2748,51.5,411400,64808,13.3,12304
